A,Agilent Technologies, Inc. Comm,NYQ
B,Barnes Group, Inc. Common Stock,NYQ
C,Citigroup, Inc. Common Stock,NYQ
D,Dominion Resources, Inc. Common,NYQ
E,ENI S.p.A. Common Stock,NYQ
F,Ford Motor Company Common Stock,NYQ
G,Genpact Limited Common Stock,NYQ
H,Hyatt Hotels Corporation Class ,NYQ
I,Intelsat S.A. Common Shares,NYQ
J,N/A,N/A
K,Kellogg Company Common Stock,NYQ
L,Loews Corporation Common Stock,NYQ
M,Macy's Inc Common Stock,NYQ
N,Netsuite Inc,NYQ
O,Realty Income Corporation Commo,NYQ
P,Pandora Media, Inc. Common Stoc,NYQ
Q,Quintiles IMS Holdings, Inc. Co,NYQ
R,Ryder System, Inc. Common Stock,NYQ
S,Sprint Corporation Common Stock,NYQ
T,AT&T Inc.,NYQ
U,N/A,N/A
V,Visa Inc.,NYQ
W,Wayfair Inc. Class A Common Sto,NYQ
X,United States Steel Corporation,NYQ
Y,Alleghany Corporation Common St,NYQ
Z,Zillow Group, Inc.,NMS
AA,Alcoa Corporation Common Stock ,NYQ
AB,AllianceBernstein Holding L.P. ,NYQ
AC,Associated Capital Group, Inc. ,NYQ
AD,N/A,N/A
AE,Adams Resources & Energy, Inc. ,ASE
AF,Astoria Financial Corporation C,NYQ
AG,First Majestic Silver Corp. Ord,NYQ
AH,N/A,N/A
AI,Arlington Asset Investment Corp,NYQ
AJ,N/A,N/A
AK,N/A,N/A
AL,Air Lease Corporation Class A C,NYQ
AM,Antero Midstream Partners LP Co,NYQ
AN,AutoNation, Inc. Common Stock,NYQ
AO,N/A,N/A
AP,Ampco-Pittsburgh Corporation Co,NYQ
AQ,N/A,N/A
AR,Antero Resources Corporation Co,NYQ
AS,N/A,N/A
AT,Atlantic Power Corporation Ordi,NYQ
AU,AngloGold Ashanti Limited Commo,NYQ
AV,Aviva plc Unsponsored ADR (UK),NYQ
AW,N/A,N/A
AX,N/A,PCX
AY,N/A,N/A
AZ,N/A,N/A
BA,Boeing Company (The) Common Sto,NYQ
BB,N/A,N/A
BC,Brunswick Corporation Common St,NYQ
BD,N/A,N/A
BE,N/A,N/A
BF,N/A,N/A
BG,Bunge Limited Bunge Limited,NYQ
BH,Biglari Holdings Inc.,NYQ
BI,N/A,N/A
BJ,N/A,N/A
BK,Bank of New York Mellon Corpora,NYQ
BL,BLACKLINE, INC.,NMS
BM,N/A,N/A
BN,N/A,N/A
BO,N/A,N/A
BP,BP p.l.c. Common Stock,NYQ
BQ,N/A,N/A
BR,Broadridge Financial Solutions,,NYQ
BS,N/A,N/A
BT,BT Group plc American Depositar,NYQ
BU,N/A,N/A
BV,Bazaarvoice, Inc.,NMS
BW,Babcock & Wilcox Enterprises, I,NYQ
BX,The Blackstone Group L.P. Commo,NYQ
BY,N/A,N/A
BZ,N/A,NYQ
CA,CA Inc.,NMS
CB,D/B/A Chubb Limited New Common ,NYQ
CC,Chemours Company (The) Common S,NYQ
CD,N/A,N/A
CE,Celanese Corporation Celanese C,NYQ
CF,CF Industries Holdings, Inc. Co,NYQ
CG,The Carlyle Group L.P.,NMS
CH,Aberdeen Chile Fund, Inc. (The),ASE
CI,Cigna Corporation Common Stock,NYQ
CJ,N/A,N/A
CK,N/A,N/A
CL,Colgate-Palmolive Company Commo,NYQ
CM,Canadian Imperial Bank of Comme,NYQ
CN,Deutsche X-trackers MSCI All Ch,PCX
CO,China Cord Blood Corporation Co,NYQ
CP,Canadian Pacific Railway Limite,NYQ
CQ,N/A,N/A
CR,Crane Company Common Stock,NYQ
CS,Credit Suisse Group American De,NYQ
CT,N/A,N/A
CU,First Trust ISE Global Copper I,NGM
CV,N/A,N/A
CW,Curtiss-Wright Corporation Comm,NYQ
CX,Cemex, S.A.B. de C.V. Sponsored,NYQ
CY,Cypress Semiconductor Corporati,NMS
CZ,N/A,N/A
DA,N/A,N/A
DB,Deutsche Bank AG Common Stock,NYQ
DC,N/A,N/A
DD,E.I. du Pont de Nemours and Com,NYQ
DE,Deere & Company Common Stock,NYQ
DF,Dean Foods Company Common Stock,NYQ
DG,Dollar General Corporation Comm,NYQ
DH,N/A,N/A
DI,PIMCO Diversified Income Active,PCX
DJ,N/A,N/A
DK,Delek US Holdings, Inc. Common ,NYQ
